H,K,L,FreeR_flag,IMEAN,SIGIMEAN,I(+),SIGI(+),I(-),SIGI(-),F,SIGF,DANO,SIGDANO,F(+),SIGF(+),F(-),SIGF(-),ISYM
0,0,4,2,,,,,,,,,,,,,,,
0,0,8,19,,,,,,,,,,,,,,,
0,0,12,17,,,,,,,,,,,,,,,
1,0,1,8,,,,,,,,,,,,,,,
1,0,2,9,,,,,,,,,,,,,,,
1,0,3,11,,,,,,,,,,,,,,,
1,0,4,18,,,,,,,,,,,,,,,
1,0,5,4,,,,,,,,,,,,,,,
1,0,6,11,,,,,,,,,,,,,,,
1,0,7,13,,,,,,,,,,,,,,,
1,0,8,9,,,,,,,,,,,,,,,
1,0,9,19,,,,,,,,,,,,,,,
1,0,10,6,,,,,,,,,,,,,,,
1,0,11,1,,,,,,,,,,,,,,,
1,0,12,2,,,,,,,,,,,,,,,
1,0,13,1,,,,,,,,,,,,,,,
1,0,14,17,,,,,,,,,,,,,,,
1,0,15,15,,,,,,,,,,,,,,,
1,1,0,14,,,,,,,,,,,,,,,
1,1,1,15,,,,,,,,,,,,,,,
1,1,2,19,,,,,,,,,,,,,,,
1,1,3,12,,,,,,,,,,,,,,,
1,1,4,3,,,,,,,,,,,,,,,
1,1,5,16,,,,,,,,,,,,,,,
1,1,6,3,,,,,,,,,,,,,,,
1,1,7,8,,,,,,,,,,,,,,,
1,1,8,7,,,,,,,,,,,,,,,
1,1,9,12,,,,,,,,,,,,,,,
1,1,10,7,,,,,,,,,,,,,,,
1,1,11,11,,,,,,,,,,,,,,,
1,1,12,18,,,,,,,,,,,,,,,
1,1,13,7,,,,,,,,,,,,,,,
1,1,14,1,,,,,,,,,,,,,,,
1,1,15,6,,,,,,,,,,,,,,,
2,0,0,7,,,,,,,,,,,,,,,
2,0,1,9,,,,,,,,,,,,,,,
2,0,2,0,,,,,,,,,,,,,,,
2,0,3,16,,,,,,,,,,,,,,,
2,0,4,16,,,,,,,,,,,,,,,
2,0,5,11,,,,,,,,,,,,,,,
2,0,6,7,,,,,,,,,,,,,,,
2,0,7,19,,,,,,,,,,,,,,,
2,0,8,12,,,,,,,,,,,,,,,
2,0,9,3,,,,,,,,,,,,,,,
2,0,10,12,,,,,,,,,,,,,,,
2,0,11,7,,,,,,,,,,,,,,,
2,0,12,16,,,,,,,,,,,,,,,
2,0,13,11,,,,,,,,,,,,,,,
2,0,14,10,,,,,,,,,,,,,,,
2,0,15,11,,,,,,,,,,,,,,,
2,1,0,14,,,,,,,,,,,,,,,
2,1,1,9,,,,,,,,,,,,,,,
2,1,2,8,,,,,,,,,,,,,,,
2,1,3,17,,,,,,,,,,,,,,,
2,1,4,11,,,,,,,,,,,,,,,
2,1,5,13,,,,,,,,,,,,,,,
2,1,6,11,,,,,,,,,,,,,,,
2,1,7,0,,,,,,,,,,,,,,,
2,1,8,6,,,,,,,,,,,,,,,
2,1,9,19,,,,,,,,,,,,,,,
2,1,10,14,,,,,,,,,,,,,,,
2,1,11,8,,,,,,,,,,,,,,,
2,1,12,6,,,,,,,,,,,,,,,
2,1,13,4,,,,,,,,,,,,,,,
2,1,14,0,,,,,,,,,,,,,,,
2,2,0,18,,,,,,,,,,,,,,,
2,2,1,2,,,,,,,,,,,,,,,
2,2,2,2,,,,,,,,,,,,,,,
2,2,3,4,,,,,,,,,,,,,,,
2,2,4,0,,,,,,,,,,,,,,,
2,2,5,11,,,,,,,,,,,,,,,
2,2,6,17,,,,,,,,,,,,,,,
2,2,7,19,,,,,,,,,,,,,,,
2,2,8,13,,,,,,,,,,,,,,,
2,2,9,7,,,,,,,,,,,,,,,
2,2,10,8,,,,,,,,,,,,,,,
2,2,11,9,,,,,,,,,,,,,,,
2,2,12,10,,,,,,,,,,,,,,,
2,2,13,18,,,,,,,,,,,,,,,
2,2,14,11,,,,,,,,,,,,,,,
3,0,1,6,,,,,,,,,,,,,,,
3,0,2,6,,,,,,,,,,,,,,,
3,0,3,13,,,,,,,,,,,,,,,
3,0,4,15,,,,,,,,,,,,,,,
3,0,5,17,,,,,,,,,,,,,,,
3,0,6,3,,,,,,,,,,,,,,,
3,0,7,10,,,,,,,,,,,,,,,
3,0,8,15,,,,,,,,,,,,,,,
3,0,9,14,,,,,,,,,,,,,,,
3,0,10,1,,,,,,,,,,,,,,,
3,0,11,8,,,,,,,,,,,,,,,
3,0,12,11,,,,,,,,,,,,,,,
3,0,13,19,,,,,,,,,,,,,,,
3,0,14,1,,,,,,,,,,,,,,,
3,1,0,18,,,,,,,,,,,,,,,
3,1,1,8,,,,,,,,,,,,,,,
3,1,2,0,,,,,,,,,,,,,,,
3,1,3,19,,,,,,,,,,,,,,,
3,1,4,7,,,,,,,,,,,,,,,
3,1,5,11,,,,,,,,,,,,,,,
3,1,6,10,,,,,,,,,,,,,,,
3,1,7,0,,,,,,,,,,,,,,,
3,1,8,14,,,,,,,,,,,,,,,
3,1,9,19,,,,,,,,,,,,,,,
3,1,10,8,,,,,,,,,,,,,,,
3,1,11,2,,,,,,,,,,,,,,,
3,1,12,0,,,,,,,,,,,,,,,
3,1,13,10,,,,,,,,,,,,,,,
3,1,14,8,,,,,,,,,,,,,,,
3,2,0,4,,,,,,,,,,,,,,,
3,2,1,7,,,,,,,,,,,,,,,
3,2,2,8,,,,,,,,,,,,,,,
3,2,3,4,,,,,,,,,,,,,,,
3,2,4,15,,,,,,,,,,,,,,,
3,2,5,1,,,,,,,,,,,,,,,
3,2,6,3,,,,,,,,,,,,,,,
3,2,7,11,,,,,,,,,,,,,,,
3,2,8,2,,,,,,,,,,,,,,,
3,2,9,18,,,,,,,,,,,,,,,
3,2,10,11,,,,,,,,,,,,,,,
3,2,11,9,,,,,,,,,,,,,,,
3,2,12,6,,,,,,,,,,,,,,,
3,2,13,12,,,,,,,,,,,,,,,
3,2,14,14,,,,,,,,,,,,,,,
3,3,0,4,,,,,,,,,,,,,,,
3,3,1,0,,,,,,,,,,,,,,,
3,3,2,12,,,,,,,,,,,,,,,
3,3,3,12,,,,,,,,,,,,,,,
3,3,4,19,,,,,,,,,,,,,,,
3,3,5,11,,,,,,,,,,,,,,,
3,3,6,5,,,,,,,,,,,,,,,
3,3,7,8,,,,,,,,,,,,,,,
3,3,8,15,,,,,,,,,,,,,,,
3,3,9,15,,,,,,,,,,,,,,,
3,3,10,11,,,,,,,,,,,,,,,
3,3,11,6,,,,,,,,,,,,,,,
3,3,12,5,,,,,,,,,,,,,,,
3,3,13,1,,,,,,,,,,,,,,,
3,3,14,8,,,,,,,,,,,,,,,
4,0,0,12,,,,,,,,,,,,,,,
4,0,1,2,,,,,,,,,,,,,,,
4,0,2,2,,,,,,,,,,,,,,,
4,0,3,11,,,,,,,,,,,,,,,
4,0,4,5,,,,,,,,,,,,,,,
4,0,5,8,,,,,,,,,,,,,,,
4,0,6,1,,,,,,,,,,,,,,,
4,0,7,0,,,,,,,,,,,,,,,
4,0,8,6,,,,,,,,,,,,,,,
4,0,9,9,,,,,,,,,,,,,,,
4,0,10,9,,,,,,,,,,,,,,,
4,0,11,16,,,,,,,,,,,,,,,
4,0,12,2,,,,,,,,,,,,,,,
4,0,13,1,,,,,,,,,,,,,,,
4,0,14,11,,,,,,,,,,,,,,,
4,1,0,11,,,,,,,,,,,,,,,
4,1,1,1,,,,,,,,,,,,,,,
4,1,2,1,,,,,,,,,,,,,,,
4,1,3,14,,,,,,,,,,,,,,,
4,1,4,2,,,,,,,,,,,,,,,
4,1,5,17,,,,,,,,,,,,,,,
4,1,6,4,,,,,,,,,,,,,,,
4,1,7,2,,,,,,,,,,,,,,,
4,1,8,18,,,,,,,,,,,,,,,
4,1,9,16,,,,,,,,,,,,,,,
4,1,10,3,,,,,,,,,,,,,,,
4,1,11,6,,,,,,,,,,,,,,,
4,1,12,11,,,,,,,,,,,,,,,
4,1,13,16,,,,,,,,,,,,,,,
4,1,14,16,,,,,,,,,,,,,,,
4,2,0,8,,,,,,,,,,,,,,,
4,2,1,15,,,,,,,,,,,,,,,
4,2,2,12,,,,,,,,,,,,,,,
4,2,3,17,,,,,,,,,,,,,,,
4,2,4,18,,,,,,,,,,,,,,,
4,2,5,7,,,,,,,,,,,,,,,
4,2,6,16,,,,,,,,,,,,,,,
4,2,7,4,,,,,,,,,,,,,,,
4,2,8,4,,,,,,,,,,,,,,,
4,2,9,2,,,,,,,,,,,,,,,
4,2,10,19,,,,,,,,,,,,,,,
4,2,11,3,,,,,,,,,,,,,,,
4,2,12,12,,,,,,,,,,,,,,,
4,2,13,6,,,,,,,,,,,,,,,
4,2,14,16,,,,,,,,,,,,,,,
4,3,0,3,,,,,,,,,,,,,,,
4,3,1,13,,,,,,,,,,,,,,,
4,3,2,0,,,,,,,,,,,,,,,
4,3,3,15,,,,,,,,,,,,,,,
4,3,4,18,,,,,,,,,,,,,,,
4,3,5,15,,,,,,,,,,,,,,,
4,3,6,13,,,,,,,,,,,,,,,
4,3,7,11,,,,,,,,,,,,,,,
4,3,8,15,,,,,,,,,,,,,,,
4,3,9,9,,,,,,,,,,,,,,,
4,3,10,19,,,,,,,,,,,,,,,
4,3,11,1,,,,,,,,,,,,,,,
4,3,12,16,,,,,,,,,,,,,,,
4,3,13,16,,,,,,,,,,,,,,,
4,3,14,12,,,,,,,,,,,,,,,
4,4,0,11,,,,,,,,,,,,,,,
4,4,1,0,,,,,,,,,,,,,,,
4,4,2,19,,,,,,,,,,,,,,,
4,4,3,10,480.849,307.5508,480.849,307.5508,480.849,307.5508,174.5385,56.97867,0,0,174.5385,80.58001,174.5385,80.58001,0
4,4,4,9,,,,,,,,,,,,,,,
4,4,5,12,,,,,,,,,,,,,,,
4,4,6,14,,,,,,,,,,,,,,,
4,4,7,18,,,,,,,,,,,,,,,
4,4,8,1,,,,,,,,,,,,,,,
4,4,9,2,,,,,,,,,,,,,,,
4,4,10,0,,,,,,,,,,,,,,,
4,4,11,19,,,,,,,,,,,,,,,
4,4,12,17,,,,,,,,,,,,,,,
4,4,13,11,,,,,,,,,,,,,,,
4,4,14,3,,,,,,,,,,,,,,,
5,0,1,15,,,,,,,,,,,,,,,
5,0,2,6,,,,,,,,,,,,,,,
5,0,3,18,,,,,,,,,,,,,,,
5,0,4,17,,,,,,,,,,,,,,,
5,0,5,14,,,,,,,,,,,,,,,
5,0,6,2,,,,,,,,,,,,,,,
5,0,7,19,,,,,,,,,,,,,,,
5,0,8,15,,,,,,,,,,,,,,,
5,0,9,3,,,,,,,,,,,,,,,
5,0,10,6,,,,,,,,,,,,,,,
5,0,11,17,,,,,,,,,,,,,,,
5,0,12,9,,,,,,,,,,,,,,,
5,0,13,16,,,,,,,,,,,,,,,
5,0,14,10,,,,,,,,,,,,,,,
5,1,0,19,,,,,,,,,,,,,,,
5,1,1,1,,,,,,,,,,,,,,,
5,1,2,10,,,,,,,,,,,,,,,
5,1,3,19,,,,,,,,,,,,,,,
5,1,4,5,,,,,,,,,,,,,,,
5,1,5,3,,,,,,,,,,,,,,,
5,1,6,9,,,,,,,,,,,,,,,
5,1,7,15,,,,,,,,,,,,,,,
5,1,8,9,,,,,,,,,,,,,,,
5,1,9,5,,,,,,,,,,,,,,,
5,1,10,12,,,,,,,,,,,,,,,
5,1,11,6,,,,,,,,,,,,,,,
5,1,12,6,,,,,,,,,,,,,,,
5,1,13,17,,,,,,,,,,,,,,,
5,1,14,1,,,,,,,,,,,,,,,
5,2,0,10,,,,,,,,,,,,,,,
5,2,1,8,,,,,,,,,,,,,,,
5,2,2,6,,,,,,,,,,,,,,,
5,2,3,3,,,,,,,,,,,,,,,
5,2,4,6,,,,,,,,,,,,,,,
5,2,5,12,,,,,,,,,,,,,,,
5,2,6,7,,,,,,,,,,,,,,,
5,2,7,6,,,,,,,,,,,,,,,
5,2,8,0,,,,,,,,,,,,,,,
5,2,9,10,,,,,,,,,,,,,,,
5,2,10,3,,,,,,,,,,,,,,,
5,2,11,9,,,,,,,,,,,,,,,
5,2,12,18,,,,,,,,,,,,,,,
5,2,13,18,,,,,,,,,,,,,,,
5,2,14,5,,,,,,,,,,,,,,,
5,3,0,0,,,,,,,,,,,,,,,
5,3,1,17,,,,,,,,,,,,,,,
5,3,2,11,844.8199,348.0621,689.8289,479.3074,1017.737,506.2668,260.7793,58.72365,-45.32124,117.4473,238.1186,82.44698,283.4399,83.64426,0
5,3,3,18,278.8139,150.7136,296.4355,197.7205,254.3757,232.843,162.5704,38.98726,5.717514,77.97451,165.4291,52.94115,159.7116,57.24734,0
5,3,4,8,,,,,,,,,,,,,,,
5,3,5,13,,,,,,,,,,,,,,,
5,3,6,19,,,,,,,,,,,,,,,
5,3,7,1,,,,,,,,,,,,,,,
5,3,8,4,,,,,,,,,,,,,,,
5,3,9,15,,,,,,,,,,,,,,,
5,3,10,14,,,,,,,,,,,,,,,
5,3,11,15,,,,,,,,,,,,,,,
5,3,12,9,,,,,,,,,,,,,,,
5,3,13,19,,,,,,,,,,,,,,,
5,3,14,4,,,,,,,,,,,,,,,
5,4,0,0,,,,,,,,,,,,,,,
5,4,1,19,,,,,,,,,,,,,,,
5,4,2,2,2671.595,623.2681,2755.561,981.6442,2614.885,806.7402,445.3403,72.45159,-11.42868,144.9032,439.6259,111.4465,451.0546,92.61005,0
5,4,3,19,7246.836,3155.376,7567.628,4453.983,6923.616,4470.816,364.3018,126.4603,8.759521,252.9206,368.6816,180.3834,359.9221,177.287,0
5,4,4,16,,,,,,,,,,,,,,,
5,4,5,15,,,,,,,,,,,,,,,
5,4,6,1,,,,,,,,,,,,,,,
5,4,7,17,,,,,,,,,,,,,,,
5,4,8,8,,,,,,,,,,,,,,,
5,4,9,11,,,,,,,,,,,,,,,
5,4,10,8,,,,,,,,,,,,,,,
5,4,11,19,,,,,,,,,,,,,,,
5,4,12,0,,,,,,,,,,,,,,,
5,4,13,14,,,,,,,,,,,,,,,
5,4,14,15,,,,,,,,,,,,,,,
5,5,0,13,2646.514,1622.959,2646.514,1622.959,2646.514,1622.959,379.1984,130.2323,0,0,379.1984,184.1763,379.1984,184.1763,0
5,5,1,6,286.768,194.7301,286.768,194.7301,286.768,194.7301,135.9849,45.28338,0,0,135.9849,64.04037,135.9849,64.04037,0
5,5,2,3,47.45403,216.5529,47.45403,216.5529,47.45403,216.5529,89.02718,40.13026,0,0,89.02718,56.75276,89.02718,56.75276,0
5,5,3,7,190.2615,171.5301,190.2615,171.5301,190.2615,171.5301,109.6563,41.28291,0,0,109.6563,58.38285,109.6563,58.38285,0
5,5,4,1,128.5614,111.0077,128.5614,111.0077,128.5614,111.0077,90.84256,33.4839,0,0,90.84256,47.35339,90.84256,47.35339,0
5,5,5,11,,,,,,,,,,,,,,,
5,5,6,13,,,,,,,,,,,,,,,
5,5,7,9,,,,,,,,,,,,,,,
5,5,8,10,,,,,,,,,,,,,,,
5,5,9,4,,,,,,,,,,,,,,,
5,5,10,9,,,,,,,,,,,,,,,
5,5,11,6,,,,,,,,,,,,,,,
5,5,12,4,,,,,,,,,,,,,,,
5,5,13,17,,,,,,,,,,,,,,,
5,5,14,7,,,,,,,,,,,,,,,
6,0,0,5,,,,,,,,,,,,,,,
6,0,1,8,,,,,,,,,,,,,,,
6,0,2,14,,,,,,,,,,,,,,,
6,0,3,4,,,,,,,,,,,,,,,
6,0,4,13,,,,,,,,,,,,,,,
6,0,5,17,,,,,,,,,,,,,,,
6,0,6,3,,,,,,,,,,,,,,,
6,0,7,8,,,,,,,,,,,,,,,
6,0,8,10,,,,,,,,,,,,,,,
6,0,9,4,,,,,,,,,,,,,,,
6,0,10,9,,,,,,,,,,,,,,,
6,0,11,7,,,,,,,,,,,,,,,
6,0,12,9,,,,,,,,,,,,,,,
6,0,13,10,,,,,,,,,,,,,,,
6,0,14,5,,,,,,,,,,,,,,,
6,1,0,9,,,,,,,,,,,,,,,
6,1,1,12,,,,,,,,,,,,,,,
6,1,2,4,489.7538,236.6154,537.2331,377.5649,459.0471,303.6372,208.0072,49.19829,14.39154,98.39658,215.203,73.25512,200.8115,65.69304,0
6,1,3,4,,,,,,,,,,,,,,,
6,1,4,13,,,,,,,,,,,,,,,
6,1,5,13,,,,,,,,,,,,,,,
6,1,6,12,,,,,,,,,,,,,,,
6,1,7,16,,,,,,,,,,,,,,,
6,1,8,18,,,,,,,,,,,,,,,
6,1,9,13,,,,,,,,,,,,,,,
6,1,10,15,,,,,,,,,,,,,,,
6,1,11,9,,,,,,,,,,,,,,,
6,1,12,3,,,,,,,,,,,,,,,
6,1,13,12,,,,,,,,,,,,,,,
6,1,14,10,,,,,,,,,,,,,,,
6,2,0,15,,,,,,,,,,,,,,,
6,2,1,7,,,,,,,,,,,,,,,
6,2,2,15,1196.914,384.5701,1369.492,548.6661,1030.248,539.1862,306.9706,60.09868,46.89676,120.1974,330.419,83.0538,283.5222,86.88769,0
6,2,3,19,423.278,279.6609,423.278,279.6609,,,193.5497,63.04601,,,193.5497,63.04601,,,1
6,2,4,6,,,,,,,,,,,,,,,
6,2,5,0,,,,,,,,,,,,,,,
6,2,6,3,,,,,,,,,,,,,,,
6,2,7,11,,,,,,,,,,,,,,,
6,2,8,14,,,,,,,,,,,,,,,
6,2,9,15,,,,,,,,,,,,,,,
6,2,10,17,,,,,,,,,,,,,,,
6,2,11,7,,,,,,,,,,,,,,,
6,2,12,7,,,,,,,,,,,,,,,
6,2,13,7,,,,,,,,,,,,,,,
6,2,14,18,,,,,,,,,,,,,,,
6,3,0,18,,,,,,,,,,,,,,,
6,3,1,17,358.5587,225.7453,,,358.5587,225.7453,179.5388,56.46568,,,,,179.5388,56.46568,2
6,3,2,4,2247.946,647.4225,4601.823,1446.62,1658.397,723.9731,444.2274,83.54283,187.6824,167.0857,538.0686,134.6255,350.3862,98.96254,0
6,3,3,15,857.8608,381.6624,905.2191,545.0294,812.2935,534.6254,255.4532,61.88228,11.6629,123.7646,261.2847,88.01401,249.6218,87.01264,0
6,3,4,10,,,,,,,,,,,,,,,
6,3,5,8,,,,,,,,,,,,,,,
6,3,6,2,,,,,,,,,,,,,,,
6,3,7,18,,,,,,,,,,,,,,,
6,3,8,5,,,,,,,,,,,,,,,
6,3,9,9,,,,,,,,,,,,,,,
6,3,10,1,,,,,,,,,,,,,,,
6,3,11,18,,,,,,,,,,,,,,,
6,3,12,18,,,,,,,,,,,,,,,
6,3,13,10,,,,,,,,,,,,,,,
6,3,14,7,,,,,,,,,,,,,,,
6,4,0,5,1757.728,596.5482,1757.728,596.5482,1757.728,596.5482,371.9825,65.60616,-0,0,371.9825,92.78112,371.9825,92.78112,0
6,4,1,16,1435.997,512.4875,1453.246,634.873,1403.733,868.2711,321.4072,72.02263,22.30304,144.0453,332.5587,92.26917,310.2557,110.6139,0
6,4,2,7,1125.538,242.5943,948.562,336.8499,1316.242,349.6696,319.171,39.1733,-61.55032,78.3466,288.3959,60.35016,349.9462,49.96047,0
6,4,3,12,218.6181,97.46568,87.88319,135.4459,359.0116,140.36,144.0647,29.27637,-71.14725,58.55274,108.4911,42.67134,179.6383,40.09464,0
6,4,4,3,853.498,222.7253,201.8885,290.7282,1779.257,346.5313,277.7995,37.53133,-251.0586,75.06265,152.2702,61.55432,403.3289,42.95891,0
6,4,5,15,,,,,,,,,,,,,,,
6,4,6,4,,,,,,,,,,,,,,,
6,4,7,3,,,,,,,,,,,,,,,
6,4,8,17,,,,,,,,,,,,,,,
6,4,9,6,,,,,,,,,,,,,,,
6,4,10,3,,,,,,,,,,,,,,,
6,4,11,7,,,,,,,,,,,,,,,
6,4,12,14,,,,,,,,,,,,,,,
6,4,13,7,,,,,,,,,,,,,,,
6,4,14,2,,,,,,,,,,,,,,,
6,5,0,2,77.88558,68.9157,77.88558,68.9157,77.88558,68.9157,72.00439,26.42451,0,0,72.00439,37.3699,72.00439,37.3699,0
6,5,1,15,1151.617,316.9539,1164.54,410.7449,1132.594,498.324,309.2213,52.49612,13.69894,104.9922,316.0707,67.01517,302.3718,80.82287,0
6,5,2,9,1037.775,389.0597,1005.602,549.9496,1070.01,550.4777,282.6426,62.21725,-8.713898,124.4345,278.2856,88.21635,286.9995,87.76003,0
6,5,3,9,986.8021,404.0907,935.1667,716.162,1010.92,489.4465,244.1071,63.37776,-26.12311,126.7555,231.0455,95.4578,257.1686,83.39526,0
6,5,4,1,725.2499,445.7964,,,725.2499,445.7964,219.0621,79.1434,,,,,219.0621,79.1434,2
6,5,5,17,,,,,,,,,,,,,,,
6,5,6,16,,,,,,,,,,,,,,,
6,5,7,9,,,,,,,,,,,,,,,
6,5,8,13,,,,,,,,,,,,,,,
6,5,9,4,,,,,,,,,,,,,,,
6,5,10,1,,,,,,,,,,,,,,,
6,5,11,17,,,,,,,,,,,,,,,
6,5,12,13,,,,,,,,,,,,,,,
6,5,13,12,,,,,,,,,,,,,,,
6,5,14,0,,,,,,,,,,,,,,,
6,6,0,11,507.4307,427.7362,507.4307,427.7362,507.4307,427.7362,179.4795,65.83939,0,0,179.4795,93.11097,179.4795,93.11097,0
6,6,1,1,445.7047,244.8864,445.7047,244.8864,445.7047,244.8864,173.342,50.60296,-0,0,173.342,71.56339,173.342,71.56339,0
6,6,2,18,89.1759,100.8416,89.1759,100.8416,89.1759,100.8416,78.03617,30.87616,0,0,78.03617,43.66549,78.03617,43.66549,0
6,6,3,7,139.143,150.9862,139.143,150.9862,139.143,150.9862,95.27892,37.74763,-0,0,95.27892,53.38321,95.27892,53.38321,0
6,6,4,3,544.3845,426.7518,544.3845,426.7518,544.3845,426.7518,159.0316,63.27743,0,0,159.0316,89.4878,159.0316,89.4878,0
6,6,5,14,,,,,,,,,,,,,,,
6,6,6,8,,,,,,,,,,,,,,,
6,6,7,5,,,,,,,,,,,,,,,
6,6,8,4,,,,,,,,,,,,,,,
6,6,9,11,,,,,,,,,,,,,,,
6,6,10,10,,,,,,,,,,,,,,,
6,6,11,15,,,,,,,,,,,,,,,
6,6,12,0,,,,,,,,,,,,,,,
6,6,13,17,,,,,,,,,,,,,,,
6,6,14,7,,,,,,,,,,,,,,,
7,0,1,11,,,,,,,,,,,,,,,
7,0,2,2,,,,,,,,,,,,,,,
7,0,3,1,-81.09625,154.0168,-81.09625,154.0168,-81.09625,154.0168,59.94609,29.18306,-0,0,59.94609,41.27108,59.94609,41.27108,0
7,0,4,7,,,,,,,,,,,,,,,
7,0,5,6,,,,,,,,,,,,,,,
7,0,6,1,,,,,,,,,,,,,,,
7,0,7,5,,,,,,,,,,,,,,,
7,0,8,7,,,,,,,,,,,,,,,
7,0,9,2,,,,,,,,,,,,,,,
7,0,10,5,,,,,,,,,,,,,,,
7,0,11,2,,,,,,,,,,,,,,,
7,0,12,16,,,,,,,,,,,,,,,
7,0,13,13,,,,,,,,,,,,,,,
7,0,14,4,,,,,,,,,,,,,,,
7,1,0,2,,,,,,,,,,,,,,,
7,1,1,17,,,,,,,,,,,,,,,
7,1,2,1,273.5081,133.5457,246.9333,161.8212,330.2573,236.4719,163.2589,37.57516,-22.86798,75.15031,151.8249,47.81859,174.6929,57.97372,0
7,1,3,6,308.0397,189.6781,508.505,301.9306,177.3448,243.7904,174.5955,43.42165,60.13055,86.84331,204.6608,65.41406,144.5302,57.12058,0
7,1,4,17,,,,,,,,,,,,,,,
7,1,5,10,,,,,,,,,,,,,,,
7,1,6,11,,,,,,,,,,,,,,,
7,1,7,10,,,,,,,,,,,,,,,
7,1,8,8,,,,,,,,,,,,,,,
7,1,9,18,,,,,,,,,,,,,,,
7,1,10,1,,,,,,,,,,,,,,,
7,1,11,18,,,,,,,,,,,,,,,
7,1,12,14,,,,,,,,,,,,,,,
7,1,13,10,,,,,,,,,,,,,,,
7,1,14,3,,,,,,,,,,,,,,,
7,2,0,16,,,,,,,,,,,,,,,
7,2,1,3,1934.464,1211.702,,,1934.464,1211.702,339.3553,129.0231,,,,,339.3553,129.0231,2
7,2,2,16,380.1091,142.716,175.064,167.708,918.4266,271.7367,214.6804,33.54003,-158.1753,67.08006,135.5927,48.58654,293.768,46.25023,0
7,2,3,17,519.8348,226.2814,441.6829,297.9171,626.3992,347.8818,205.6503,47.85407,-30.03151,95.70814,190.6345,65.07133,220.666,70.18382,0
7,2,4,12,,,,,,,,,,,,,,,
7,2,5,11,,,,,,,,,,,,,,,
7,2,6,0,,,,,,,,,,,,,,,
7,2,7,15,,,,,,,,,,,,,,,
7,2,8,5,,,,,,,,,,,,,,,
7,2,9,17,,,,,,,,,,,,,,,
7,2,10,9,,,,,,,,,,,,,,,
7,2,11,8,,,,,,,,,,,,,,,
7,2,12,17,,,,,,,,,,,,,,,
7,2,13,1,,,,,,,,,,,,,,,
7,2,14,8,,,,,,,,,,,,,,,
7,3,0,19,1259.964,513.5323,1259.964,513.5323,1259.964,513.5323,302.8923,68.27171,-0,0,302.8923,96.55077,302.8923,96.55077,0
7,3,1,17,2389.957,670.485,1408.729,1327.949,2725.684,776.7649,386.2032,77.10577,-165.1254,154.2115,303.6405,127.9592,468.7659,86.06758,0
7,3,2,19,5859.221,1926.535,4151.557,2354.083,9322.317,3352.377,445.6497,133.0572,-105.6357,266.1143,392.8318,168.1324,498.4675,206.2725,0
7,3,3,3,1134.553,314.1902,585.335,403.7338,1977.922,500.3011,303.9688,48.8697,-194.2982,97.7394,206.8197,75.25824,401.1179,62.36335,0
7,3,4,14,1132.657,496.3996,2033.171,702.6062,235.1674,701.4252,269.9646,64.09842,170.0383,128.1968,354.9837,96.46144,184.9454,84.43707,0
7,3,5,19,,,,,,,,,,,,,,,
7,3,6,15,,,,,,,,,,,,,,,
7,3,7,10,,,,,,,,,,,,,,,
7,3,8,5,,,,,,,,,,,,,,,
7,3,9,3,,,,,,,,,,,,,,,
7,3,10,4,,,,,,,,,,,,,,,
7,3,11,0,,,,,,,,,,,,,,,
7,3,12,10,,,,,,,,,,,,,,,
7,3,13,9,,,,,,,,,,,,,,,
7,3,14,10,,,,,,,,,,,,,,,
7,4,0,2,2890.223,1744.475,2890.223,1744.475,2890.223,1744.475,347.7143,131.447,0,0,347.7143,185.8942,347.7143,185.8942,0
7,4,1,9,774.3275,282.9896,912.0468,350.042,514.494,480.8067,248.8824,51.78598,63.80144,103.572,280.7831,63.77125,216.9817,81.61115,0
7,4,2,14,304.3253,218.478,304.3253,218.478,,,166.9212,55.72438,,,166.9212,55.72438,,,1
7,4,3,8,2458.107,474.9423,2721.709,628.7368,2107.801,724.7998,407.9703,59.95589,104.2579,119.9118,460.0993,68.32621,355.8414,98.54118,0
7,4,4,13,72.51963,104.6572,80.40072,248.3306,70.81753,115.4068,111.0002,33.30476,26.93813,66.60953,124.4692,53.96391,97.5311,39.04774,0
7,4,5,17,,,,,,,,,,,,,,,
7,4,6,18,,,,,,,,,,,,,,,
7,4,7,7,,,,,,,,,,,,,,,
7,4,8,18,,,,,,,,,,,,,,,
7,4,9,10,,,,,,,,,,,,,,,
7,4,10,19,,,,,,,,,,,,,,,
7,4,11,17,,,,,,,,,,,,,,,
7,4,12,6,,,,,,,,,,,,,,,
7,4,13,0,,,,,,,,,,,,,,,
7,4,14,9,,,,,,,,,,,,,,,
7,5,0,2,2167.357,755.8143,2167.357,755.8143,2167.357,755.8143,404.1962,76.6677,0,0,404.1962,108.4245,404.1962,108.4245,0
7,5,1,11,2123.219,607.5222,2012.921,783.9585,2289.035,961.22,385.3242,76.69672,-7.329376,153.3934,381.6595,101.0823,388.9889,115.3773,0
7,5,2,5,779.2113,303.5058,,,779.2113,303.5058,252.5844,60.73606,,,,,252.5844,60.73606,2
7,5,3,0,5.018752,30.95845,111.7381,158.6047,0.7916826,31.56561,81.87589,25.09603,71.73863,50.19205,117.7452,46.21849,46.00657,19.57276,0
7,5,4,7,654.3431,421.3867,,,654.3431,421.3867,199.8022,76.05122,,,,,199.8022,76.05122,2
7,5,5,10,,,,,,,,,,,,,,,
