H,K,L,FreeR_flag,IMEAN,SIGIMEAN,I(+),SIGI(+),I(-),SIGI(-),F,SIGF,DANO,SIGDANO,F(+),SIGF(+),F(-),SIGF(-),ISYM
15,11,2,5,432.0089,315.5964,432.0089,315.5964,,,191.3141,66.83755,,,191.3141,66.83755,,,1
15,11,3,7,240.1037,112.3874,222.9664,127.0322,301.8387,241.1069,153.8745,35.91579,-23.31421,71.83158,142.2174,41.87678,165.5316,58.3619,0
15,11,4,14,1654.851,568.6508,1891.676,652.6927,908.7708,1158.477,312.8356,71.69046,120.0835,143.3809,372.8773,88.69263,252.7938,112.6575,0
15,11,5,18,1140.836,577.1396,1512.512,803.9065,745.5262,829.0724,243.7929,70.85172,58.48358,141.7034,273.0347,104.7171,214.5511,95.46826,0
15,11,6,15,511.0449,403.8514,511.0449,403.8514,,,188.0546,73.76506,,,188.0546,73.76506,,,1
15,11,7,19,897.6524,563.3225,569.5377,757.7709,1302.976,842.2211,195.3894,63.39761,-34.83142,126.7952,177.9737,83.50705,212.8051,95.41279,0
15,11,8,5,306.9121,277.5445,306.9121,277.5445,,,152.2954,60.70707,,,152.2954,60.70707,,,1
15,11,9,5,190.2835,195.8186,,,190.2835,195.8186,123.4127,50.27983,,,,,123.4127,50.27983,2
15,11,10,17,503.0132,485.9392,,,503.0132,485.9392,125.8538,61.12959,,,,,125.8538,61.12959,2
15,11,11,19,,,,,,,,,,,,,,,
15,12,0,2,599.1298,171.6055,599.1298,171.6055,599.1298,171.6055,232.6898,28.38762,-0,0,232.6898,40.14615,232.6898,40.14615,0
15,12,1,9,295.8978,84.84405,430.2837,139.8507,217.629,106.7289,169.6194,26.12528,58.21324,52.25056,198.726,36.55525,140.5128,37.33409,0
15,12,2,12,288.5758,106.8324,289.6812,166.5116,287.8023,139.2776,160.442,32.14828,-0.0589447,64.29655,160.4125,48.11123,160.4715,42.65391,0
15,12,3,4,188.1647,205.6983,311.724,296.7778,73.9292,285.3606,154.5244,43.48396,34.2995,86.96791,171.6742,64.20721,137.3747,58.65878,0
15,12,4,2,75.36594,67.76807,92.04478,79.89568,32.59323,127.9451,95.29747,26.0223,2.100128,52.04461,96.34753,33.63212,94.24741,39.71803,0
15,12,5,11,955.6231,256.8333,1317.394,330.5475,404.4798,407.99,265.8874,44.13781,155.6526,88.27563,343.7137,48.08472,188.0611,74.03003,0
15,12,6,2,574.8978,250.8749,249.1692,463.5609,709.8151,298.3409,196.9209,47.9744,-65.96759,95.94881,163.9371,72.34361,229.9047,63.02837,0
15,12,7,5,1946.768,749.4948,1495.769,921.4874,2828.287,1288.3,236.4391,75.86588,-26.16685,151.7318,223.3557,99.98087,249.5226,114.133,0
15,12,8,8,48.77476,65.77673,48.77476,65.77673,,,75.4861,29.72172,,,75.4861,29.72172,,,1
