H,K,L,F,SIGF,DANO,SIGDANO,F(+),SIGF(+),F(-),SIGF(-),ISYM,IMEAN,SIGIMEAN,I(+),SIGI(+),I(-),SIGI(-),FreeR_flag
0,0,1,,,,,,,,,,,,,,,,3
0,0,2,,,,,,,,,,,,,,,,15
0,0,3,,,,,,,,,,,,,,,,17
0,0,4,,,,,,,,,,,,,,,,13
0,0,5,,,,,,,,,,,,,,,,18
0,0,6,,,,,,,,,,,,,,,,0
0,0,7,,,,,,,,,,,,,,,,3
0,0,8,,,,,,,,,,,,,,,,16
0,0,9,,,,,,,,,,,,,,,,14
0,0,10,,,,,,,,,,,,,,,,1
0,0,11,,,,,,,,,,,,,,,,6
0,0,12,,,,,,,,,,,,,,,,14
0,0,13,,,,,,,,,,,,,,,,15
0,0,14,,,,,,,,,,,,,,,,12
0,0,15,,,,,,,,,,,,,,,,2
0,0,16,,,,,,,,,,,,,,,,17
0,0,17,,,,,,,,,,,,,,,,18
0,0,18,,,,,,,,,,,,,,,,7
1,0,0,,,,,,,,,,,,,,,,11
1,0,1,,,,,,,,,,,,,,,,1
1,0,2,,,,,,,,,,,,,,,,8
1,0,3,,,,,,,,,,,,,,,,8
1,0,4,,,,,,,,,,,,,,,,17
1,0,5,,,,,,,,,,,,,,,,4
1,0,6,,,,,,,,,,,,,,,,18
1,0,7,,,,,,,,,,,,,,,,14
1,0,8,,,,,,,,,,,,,,,,1
1,0,9,,,,,,,,,,,,,,,,3
1,0,10,,,,,,,,,,,,,,,,10
1,0,11,,,,,,,,,,,,,,,,15
1,0,12,,,,,,,,,,,,,,,,18
1,0,13,,,,,,,,,,,,,,,,7
1,0,14,,,,,,,,,,,,,,,,14
1,0,15,,,,,,,,,,,,,,,,1
1,0,16,,,,,,,,,,,,,,,,18
1,0,17,,,,,,,,,,,,,,,,8
1,0,18,,,,,,,,,,,,,,,,13
1,1,0,,,,,,,,,,,,,,,,19
1,1,1,,,,,,,,,,,,,,,,2
1,1,2,,,,,,,,,,,,,,,,17
1,1,3,,,,,,,,,,,,,,,,10
1,1,4,,,,,,,,,,,,,,,,5
1,1,5,,,,,,,,,,,,,,,,1
1,1,6,,,,,,,,,,,,,,,,12
1,1,7,,,,,,,,,,,,,,,,7
1,1,8,,,,,,,,,,,,,,,,18
1,1,9,,,,,,,,,,,,,,,,6
1,1,10,,,,,,,,,,,,,,,,3
1,1,11,,,,,,,,,,,,,,,,11
1,1,12,,,,,,,,,,,,,,,,3
1,1,13,,,,,,,,,,,,,,,,7
1,1,14,,,,,,,,,,,,,,,,15
1,1,15,,,,,,,,,,,,,,,,5
1,1,16,,,,,,,,,,,,,,,,19
1,1,17,,,,,,,,,,,,,,,,6
1,1,18,,,,,,,,,,,,,,,,2
2,0,0,,,,,,,,,,,,,,,,19
2,0,1,,,,,,,,,,,,,,,,3
2,0,2,,,,,,,,,,,,,,,,9
2,0,3,,,,,,,,,,,,,,,,12
2,0,4,,,,,,,,,,,,,,,,3
2,0,5,,,,,,,,,,,,,,,,6
2,0,6,,,,,,,,,,,,,,,,17
2,0,7,,,,,,,,,,,,,,,,18
2,0,8,,,,,,,,,,,,,,,,3
2,0,9,,,,,,,,,,,,,,,,15
2,0,10,,,,,,,,,,,,,,,,4
2,0,11,,,,,,,,,,,,,,,,11
2,0,12,,,,,,,,,,,,,,,,0
2,0,13,,,,,,,,,,,,,,,,9
2,0,14,,,,,,,,,,,,,,,,15
2,0,15,,,,,,,,,,,,,,,,10
2,0,16,,,,,,,,,,,,,,,,7
2,0,17,,,,,,,,,,,,,,,,13
2,0,18,,,,,,,,,,,,,,,,15
2,1,0,,,,,,,,,,,,,,,,5
2,1,1,,,,,,,,,,,,,,,,2
2,1,2,,,,,,,,,,,,,,,,12
2,1,3,,,,,,,,,,,,,,,,12
2,1,4,,,,,,,,,,,,,,,,8
2,1,5,,,,,,,,,,,,,,,,13
2,1,6,,,,,,,,,,,,,,,,11
2,1,7,,,,,,,,,,,,,,,,1
2,1,8,,,,,,,,,,,,,,,,9
2,1,9,,,,,,,,,,,,,,,,1
2,1,10,,,,,,,,,,,,,,,,9
2,1,11,,,,,,,,,,,,,,,,8
2,1,12,,,,,,,,,,,,,,,,10
2,1,13,,,,,,,,,,,,,,,,18
2,1,14,,,,,,,,,,,,,,,,14
2,1,15,,,,,,,,,,,,,,,,15
2,1,16,,,,,,,,,,,,,,,,18
2,1,17,,,,,,,,,,,,,,,,9
2,1,18,,,,,,,,,,,,,,,,1
2,2,0,,,,,,,,,,,,,,,,11
2,2,1,,,,,,,,,,,,,,,,10
2,2,2,,,,,,,,,,,,,,,,13
2,2,3,,,,,,,,,,,,,,,,10
2,2,4,,,,,,,,,,,,,,,,10
2,2,5,,,,,,,,,,,,,,,,4
2,2,6,,,,,,,,,,,,,,,,17
2,2,7,,,,,,,,,,,,,,,,8
2,2,8,,,,,,,,,,,,,,,,15
2,2,9,,,,,,,,,,,,,,,,16
2,2,10,,,,,,,,,,,,,,,,8
2,2,11,,,,,,,,,,,,,,,,2
2,2,12,,,,,,,,,,,,,,,,19
2,2,13,,,,,,,,,,,,,,,,3
2,2,14,,,,,,,,,,,,,,,,7
2,2,15,,,,,,,,,,,,,,,,16
2,2,16,,,,,,,,,,,,,,,,8
2,2,17,,,,,,,,,,,,,,,,17
2,2,18,,,,,,,,,,,,,,,,19
3,0,0,,,,,,,,,,,,,,,,14
3,0,1,,,,,,,,,,,,,,,,4
3,0,2,,,,,,,,,,,,,,,,2
3,0,3,,,,,,,,,,,,,,,,12
3,0,4,,,,,,,,,,,,,,,,4
3,0,5,,,,,,,,,,,,,,,,19
3,0,6,,,,,,,,,,,,,,,,9
3,0,7,,,,,,,,,,,,,,,,0
3,0,8,,,,,,,,,,,,,,,,2
3,0,9,,,,,,,,,,,,,,,,10
3,0,10,,,,,,,,,,,,,,,,5
3,0,11,,,,,,,,,,,,,,,,7
3,0,12,,,,,,,,,,,,,,,,8
3,0,13,,,,,,,,,,,,,,,,1
3,0,14,,,,,,,,,,,,,,,,10
3,0,15,,,,,,,,,,,,,,,,12
3,0,16,,,,,,,,,,,,,,,,16
3,0,17,,,,,,,,,,,,,,,,18
3,0,18,,,,,,,,,,,,,,,,12
3,1,0,,,,,,,,,,,,,,,,11
3,1,1,,,,,,,,,,,,,,,,5
3,1,2,,,,,,,,,,,,,,,,6
3,1,3,,,,,,,,,,,,,,,,3
3,1,4,,,,,,,,,,,,,,,,4
3,1,5,,,,,,,,,,,,,,,,7
3,1,6,,,,,,,,,,,,,,,,0
3,1,7,,,,,,,,,,,,,,,,13
3,1,8,,,,,,,,,,,,,,,,13
3,1,9,,,,,,,,,,,,,,,,19
3,1,10,,,,,,,,,,,,,,,,17
3,1,11,,,,,,,,,,,,,,,,11
3,1,12,,,,,,,,,,,,,,,,10
3,1,13,,,,,,,,,,,,,,,,9
3,1,14,,,,,,,,,,,,,,,,19
3,1,15,,,,,,,,,,,,,,,,6
3,1,16,,,,,,,,,,,,,,,,8
3,1,17,,,,,,,,,,,,,,,,16
3,1,18,,,,,,,,,,,,,,,,13
3,2,0,,,,,,,,,,,,,,,,2
3,2,1,,,,,,,,,,,,,,,,3
3,2,2,,,,,,,,,,,,,,,,3
3,2,3,,,,,,,,,,,,,,,,1
3,2,4,,,,,,,,,,,,,,,,13
3,2,5,,,,,,,,,,,,,,,,7
3,2,6,,,,,,,,,,,,,,,,14
3,2,7,,,,,,,,,,,,,,,,18
3,2,8,,,,,,,,,,,,,,,,12
3,2,9,,,,,,,,,,,,,,,,14
3,2,10,,,,,,,,,,,,,,,,18
3,2,11,,,,,,,,,,,,,,,,4
3,2,12,,,,,,,,,,,,,,,,1
3,2,13,,,,,,,,,,,,,,,,16
3,2,14,,,,,,,,,,,,,,,,13
3,2,15,,,,,,,,,,,,,,,,2
3,2,16,,,,,,,,,,,,,,,,5
3,2,17,,,,,,,,,,,,,,,,1
3,2,18,,,,,,,,,,,,,,,,4
3,3,0,,,,,,,,,,,,,,,,2
3,3,1,,,,,,,,,,,,,,,,5
3,3,2,,,,,,,,,,,,,,,,2
3,3,3,,,,,,,,,,,,,,,,7
3,3,4,,,,,,,,,,,,,,,,2
3,3,5,,,,,,,,,,,,,,,,15
3,3,6,,,,,,,,,,,,,,,,4
3,3,7,,,,,,,,,,,,,,,,5
3,3,8,,,,,,,,,,,,,,,,10
3,3,9,,,,,,,,,,,,,,,,0
3,3,10,,,,,,,,,,,,,,,,3
3,3,11,,,,,,,,,,,,,,,,12
3,3,12,,,,,,,,,,,,,,,,14
3,3,13,,,,,,,,,,,,,,,,19
3,3,14,,,,,,,,,,,,,,,,12
3,3,15,,,,,,,,,,,,,,,,12
3,3,16,,,,,,,,,,,,,,,,9
3,3,17,,,,,,,,,,,,,,,,3
3,3,18,,,,,,,,,,,,,,,,14
4,0,0,,,,,,,,,,,,,,,,7
4,0,1,,,,,,,,,,,,,,,,8
4,0,2,,,,,,,,,,,,,,,,11
4,0,3,,,,,,,,,,,,,,,,14
4,0,4,,,,,,,,,,,,,,,,10
4,0,5,,,,,,,,,,,,,,,,3
4,0,6,,,,,,,,,,,,,,,,16
4,0,7,,,,,,,,,,,,,,,,3
4,0,8,,,,,,,,,,,,,,,,16
4,0,9,,,,,,,,,,,,,,,,12
4,0,10,,,,,,,,,,,,,,,,5
4,0,11,,,,,,,,,,,,,,,,5
4,0,12,,,,,,,,,,,,,,,,16
4,0,13,,,,,,,,,,,,,,,,17
4,0,14,,,,,,,,,,,,,,,,9
4,0,15,,,,,,,,,,,,,,,,7
4,0,16,,,,,,,,,,,,,,,,17
4,0,17,,,,,,,,,,,,,,,,10
4,0,18,,,,,,,,,,,,,,,,2
4,1,0,,,,,,,,,,,,,,,,13
4,1,1,,,,,,,,,,,,,,,,19
4,1,2,,,,,,,,,,,,,,,,7
4,1,3,,,,,,,,,,,,,,,,11
4,1,4,,,,,,,,,,,,,,,,14
4,1,5,,,,,,,,,,,,,,,,7
4,1,6,,,,,,,,,,,,,,,,14
4,1,7,,,,,,,,,,,,,,,,8
4,1,8,,,,,,,,,,,,,,,,18
4,1,9,,,,,,,,,,,,,,,,4
4,1,10,,,,,,,,,,,,,,,,15
4,1,11,,,,,,,,,,,,,,,,3
4,1,12,,,,,,,,,,,,,,,,11
4,1,13,,,,,,,,,,,,,,,,9
4,1,14,,,,,,,,,,,,,,,,3
4,1,15,,,,,,,,,,,,,,,,7
4,1,16,,,,,,,,,,,,,,,,2
4,1,17,,,,,,,,,,,,,,,,8
4,1,18,,,,,,,,,,,,,,,,5
4,2,0,,,,,,,,,,,,,,,,11
4,2,1,,,,,,,,,,,,,,,,8
4,2,2,,,,,,,,,,,,,,,,11
4,2,3,,,,,,,,,,,,,,,,5
4,2,4,,,,,,,,,,,,,,,,0
4,2,5,,,,,,,,,,,,,,,,4
4,2,6,,,,,,,,,,,,,,,,19
4,2,7,,,,,,,,,,,,,,,,3
4,2,8,,,,,,,,,,,,,,,,16
4,2,9,,,,,,,,,,,,,,,,18
4,2,10,,,,,,,,,,,,,,,,17
4,2,11,,,,,,,,,,,,,,,,17
4,2,12,,,,,,,,,,,,,,,,1
4,2,13,,,,,,,,,,,,,,,,11
4,2,14,,,,,,,,,,,,,,,,8
4,2,15,,,,,,,,,,,,,,,,17
4,2,16,,,,,,,,,,,,,,,,2
4,2,17,,,,,,,,,,,,,,,,1
4,2,18,,,,,,,,,,,,,,,,0
4,3,0,,,,,,,,,,,,,,,,0
4,3,1,,,,,,,,,,,,,,,,5
4,3,2,,,,,,,,,,,,,,,,15
4,3,3,,,,,,,,,,,,,,,,19
4,3,4,,,,,,,,,,,,,,,,6
4,3,5,,,,,,,,,,,,,,,,6
4,3,6,,,,,,,,,,,,,,,,16
4,3,7,,,,,,,,,,,,,,,,2
4,3,8,,,,,,,,,,,,,,,,19
4,3,9,,,,,,,,,,,,,,,,15
4,3,10,,,,,,,,,,,,,,,,14
4,3,11,,,,,,,,,,,,,,,,14
4,3,12,,,,,,,,,,,,,,,,5
4,3,13,,,,,,,,,,,,,,,,14
4,3,14,,,,,,,,,,,,,,,,8
4,3,15,,,,,,,,,,,,,,,,11
4,3,16,,,,,,,,,,,,,,,,16
4,3,17,,,,,,,,,,,,,,,,15
4,3,18,,,,,,,,,,,,,,,,11
4,4,0,,,,,,,,,,,,,,,,6
4,4,1,518.9466,32.21793,0,0,518.9466,32.21793,518.9466,32.21793,0,8.460377,1.041286,8.460377,1.041286,8.460377,1.041286,6
4,4,2,,,,,,,,,,,,,,,,18
4,4,3,,,,,,,,,,,,,,,,17
4,4,4,,,,,,,,,,,,,,,,15
4,4,5,,,,,,,,,,,,,,,,17
4,4,6,,,,,,,,,,,,,,,,8
4,4,7,,,,,,,,,,,,,,,,16
4,4,8,,,,,,,,,,,,,,,,8
4,4,9,,,,,,,,,,,,,,,,11
4,4,10,,,,,,,,,,,,,,,,2
4,4,11,,,,,,,,,,,,,,,,15
4,4,12,,,,,,,,,,,,,,,,7
4,4,13,,,,,,,,,,,,,,,,3
4,4,14,,,,,,,,,,,,,,,,7
4,4,15,,,,,,,,,,,,,,,,7
4,4,16,,,,,,,,,,,,,,,,1
4,4,17,,,,,,,,,,,,,,,,13
4,4,18,,,,,,,,,,,,,,,,8
5,0,0,,,,,,,,,,,,,,,,9
5,0,1,,,,,,,,,,,,,,,,1
5,0,2,,,,,,,,,,,,,,,,2
5,0,3,,,,,,,,,,,,,,,,11
5,0,4,,,,,,,,,,,,,,,,17
5,0,5,,,,,,,,,,,,,,,,2
5,0,6,,,,,,,,,,,,,,,,2
5,0,7,,,,,,,,,,,,,,,,6
5,0,8,,,,,,,,,,,,,,,,5
5,0,9,,,,,,,,,,,,,,,,9
5,0,10,,,,,,,,,,,,,,,,6
5,0,11,,,,,,,,,,,,,,,,6
5,0,12,,,,,,,,,,,,,,,,12
5,0,13,,,,,,,,,,,,,,,,3
5,0,14,,,,,,,,,,,,,,,,4
5,0,15,,,,,,,,,,,,,,,,19
5,0,16,,,,,,,,,,,,,,,,14
5,0,17,,,,,,,,,,,,,,,,1
5,0,18,,,,,,,,,,,,,,,,16
5,1,0,,,,,,,,,,,,,,,,11
5,1,1,,,,,,,,,,,,,,,,4
5,1,2,,,,,,,,,,,,,,,,8
5,1,3,,,,,,,,,,,,,,,,14
5,1,4,,,,,,,,,,,,,,,,13
5,1,5,,,,,,,,,,,,,,,,17
5,1,6,,,,,,,,,,,,,,,,2
5,1,7,,,,,,,,,,,,,,,,18
5,1,8,,,,,,,,,,,,,,,,9
5,1,9,,,,,,,,,,,,,,,,1
5,1,10,,,,,,,,,,,,,,,,4
5,1,11,,,,,,,,,,,,,,,,10
5,1,12,,,,,,,,,,,,,,,,15
5,1,13,,,,,,,,,,,,,,,,10
5,1,14,,,,,,,,,,,,,,,,7
5,1,15,,,,,,,,,,,,,,,,2
5,1,16,,,,,,,,,,,,,,,,12
5,1,17,,,,,,,,,,,,,,,,17
5,1,18,,,,,,,,,,,,,,,,8
5,2,0,,,,,,,,,,,,,,,,10
5,2,1,,,,,,,,,,,,,,,,12
5,2,2,,,,,,,,,,,,,,,,7
5,2,3,,,,,,,,,,,,,,,,17
5,2,4,,,,,,,,,,,,,,,,11
5,2,5,,,,,,,,,,,,,,,,14
5,2,6,,,,,,,,,,,,,,,,4
5,2,7,,,,,,,,,,,,,,,,11
5,2,8,,,,,,,,,,,,,,,,19
5,2,9,,,,,,,,,,,,,,,,11
5,2,10,,,,,,,,,,,,,,,,5
5,2,11,,,,,,,,,,,,,,,,13
5,2,12,,,,,,,,,,,,,,,,9
5,2,13,,,,,,,,,,,,,,,,3
5,2,14,,,,,,,,,,,,,,,,17
5,2,15,,,,,,,,,,,,,,,,2
5,2,16,,,,,,,,,,,,,,,,0
5,2,17,,,,,,,,,,,,,,,,6
5,2,18,,,,,,,,,,,,,,,,10
5,3,0,,,,,,,,,,,,,,,,16
5,3,1,349.7179,29.88783,157.6499,77.95667,393.5368,32.3667,235.8869,70.91994,0,3.855464,0.6479211,4.879501,0.7901655,1.753914,1.131957,12
5,3,2,,,,,,,,,,,,,,,,3
5,3,3,,,,,,,,,,,,,,,,4
5,3,4,,,,,,,,,,,,,,,,1
5,3,5,,,,,,,,,,,,,,,,7
5,3,6,,,,,,,,,,,,,,,,15
5,3,7,,,,,,,,,,,,,,,,17
5,3,8,,,,,,,,,,,,,,,,19
5,3,9,,,,,,,,,,,,,,,,15
5,3,10,,,,,,,,,,,,,,,,15
5,3,11,,,,,,,,,,,,,,,,6
5,3,12,,,,,,,,,,,,,,,,9
5,3,13,,,,,,,,,,,,,,,,5
5,3,14,,,,,,,,,,,,,,,,18
5,3,15,,,,,,,,,,,,,,,,2
5,3,16,,,,,,,,,,,,,,,,7
5,3,17,,,,,,,,,,,,,,,,5
5,3,18,,,,,,,,,,,,,,,,7
5,4,0,,,,,,,,,,,,,,,,18
5,4,1,476.5608,22.33432,118.265,46.5202,531.129,28.50884,412.864,36.76106,0,7.107351,0.666181,8.853651,0.9442571,5.376757,0.9400015,11
5,4,2,,,,,,,,,,,,,,,,16
5,4,3,,,,,,,,,,,,,,,,2
5,4,4,,,,,,,,,,,,,,,,17
5,4,5,,,,,,,,,,,,,,,,16
5,4,6,,,,,,,,,,,,,,,,19
5,4,7,,,,,,,,,,,,,,,,3
5,4,8,,,,,,,,,,,,,,,,17
5,4,9,,,,,,,,,,,,,,,,17
5,4,10,,,,,,,,,,,,,,,,5
5,4,11,,,,,,,,,,,,,,,,1
5,4,12,,,,,,,,,,,,,,,,1
5,4,13,,,,,,,,,,,,,,,,11
5,4,14,,,,,,,,,,,,,,,,2
5,4,15,,,,,,,,,,,,,,,,19
5,4,16,,,,,,,,,,,,,,,,19
5,4,17,,,,,,,,,,,,,,,,12
5,4,18,,,,,,,,,,,,,,,,8
5,5,0,,,,,,,,,,,,,,,,3
5,5,1,91.94114,39.68714,0,0,91.94114,39.68714,91.94114,39.68714,0,-0.05358205,0.4167449,-0.05358205,0.4167449,-0.05358205,0.4167449,8
5,5,2,392.929,40.16265,-0,0,392.929,40.16265,392.929,40.16265,0,4.882241,0.9738446,4.882241,0.9738446,4.882241,0.9738446,13
5,5,3,,,,,,,,,,,,,,,,15
5,5,4,,,,,,,,,,,,,,,,10
5,5,5,,,,,,,,,,,,,,,,3
5,5,6,,,,,,,,,,,,,,,,14
5,5,7,,,,,,,,,,,,,,,,7
5,5,8,,,,,,,,,,,,,,,,1
5,5,9,,,,,,,,,,,,,,,,6
5,5,10,,,,,,,,,,,,,,,,16
5,5,11,,,,,,,,,,,,,,,,3
5,5,12,,,,,,,,,,,,,,,,16
5,5,13,,,,,,,,,,,,,,,,2
5,5,14,,,,,,,,,,,,,,,,14
5,5,15,,,,,,,,,,,,,,,,15
5,5,16,,,,,,,,,,,,,,,,15
5,5,17,,,,,,,,,,,,,,,,10
5,5,18,,,,,,,,,,,,,,,,17
6,0,0,479.3442,33.87527,-0,0,479.3442,33.87527,479.3442,33.87527,0,7.2266,1.009778,7.2266,1.009778,7.2266,1.009778,1
6,0,1,325.8501,38.466,0,0,325.8501,38.466,325.8501,38.466,0,3.369171,0.7693792,3.369171,0.7693792,3.369171,0.7693792,4
6,0,2,,,,,,,,,,,,,,,,10
6,0,3,,,,,,,,,,,,,,,,8
6,0,4,,,,,,,,,,,,,,,,10
6,0,5,,,,,,,,,,,,,,,,15
6,0,6,,,,,,,,,,,,,,,,13
6,0,7,,,,,,,,,,,,,,,,8
6,0,8,,,,,,,,,,,,,,,,14
6,0,9,,,,,,,,,,,,,,,,16
6,0,10,,,,,,,,,,,,,,,,9
6,0,11,,,,,,,,,,,,,,,,7
6,0,12,,,,,,,,,,,,,,,,10
6,0,13,,,,,,,,,,,,,,,,10
6,0,14,,,,,,,,,,,,,,,,17
6,0,15,,,,,,,,,,,,,,,,19
6,0,16,,,,,,,,,,,,,,,,9
6,0,17,,,,,,,,,,,,,,,,8
6,0,18,,,,,,,,,,,,,,,,18
6,1,0,972.6653,22.25927,-0,0,972.6653,22.25927,972.6653,22.25927,0,29.60724,1.355113,29.60724,1.355113,29.60724,1.355113,19
6,1,1,263.6162,30.42797,-59.46124,63.58096,230.2826,49.9887,289.7438,39.28954,0,2.203803,0.4928278,1.724336,0.6998276,2.675502,0.6941348,9
6,1,2,,,,,,,,,,,,,,,,0
6,1,3,,,,,,,,,,,,,,,,11
6,1,4,,,,,,,,,,,,,,,,7
6,1,5,,,,,,,,,,,,,,,,2
6,1,6,,,,,,,,,,,,,,,,4
6,1,7,,,,,,,,,,,,,,,,5
6,1,8,,,,,,,,,,,,,,,,10
6,1,9,,,,,,,,,,,,,,,,12
6,1,10,,,,,,,,,,,,,,,,3
6,1,11,,,,,,,,,,,,,,,,13
6,1,12,,,,,,,,,,,,,,,,13
6,1,13,,,,,,,,,,,,,,,,5
6,1,14,,,,,,,,,,,,,,,,9
6,1,15,,,,,,,,,,,,,,,,14
6,1,16,,,,,,,,,,,,,,,,15
6,1,17,,,,,,,,,,,,,,,,12
6,1,18,,,,,,,,,,,,,,,,9
6,2,0,212.9026,34.80529,-0,0,212.9026,34.80529,212.9026,34.80529,0,1.455599,0.4477666,1.455599,0.4477666,1.455599,0.4477666,17
6,2,1,950.9127,22.05033,-4.200867,44.1008,948.8141,31.2218,953.015,31.1461,0,28.29778,1.312372,28.17301,1.85413,28.42304,1.857823,1
6,2,2,,,,,,,,,,,,,,,,0
6,2,3,,,,,,,,,,,,,,,,12
6,2,4,,,,,,,,,,,,,,,,10
6,2,5,,,,,,,,,,,,,,,,0
6,2,6,,,,,,,,,,,,,,,,0
6,2,7,,,,,,,,,,,,,,,,16
6,2,8,,,,,,,,,,,,,,,,6
6,2,9,,,,,,,,,,,,,,,,9
6,2,10,,,,,,,,,,,,,,,,7
6,2,11,,,,,,,,,,,,,,,,5
6,2,12,,,,,,,,,,,,,,,,15
6,2,13,,,,,,,,,,,,,,,,13
6,2,14,,,,,,,,,,,,,,,,0
6,2,15,,,,,,,,,,,,,,,,15
6,2,16,,,,,,,,,,,,,,,,6
6,2,17,,,,,,,,,,,,,,,,18
6,2,18,,,,,,,,,,,,,,,,6
6,3,0,389.3206,27.56826,-0,0,389.3206,27.56826,389.3206,27.56826,0,4.767188,0.6674215,4.767188,0.6674215,4.767188,0.6674215,13
6,3,1,358.6055,20.14821,-16.5112,40.57912,349.6955,29.32938,366.2067,28.04375,0,4.037179,0.4503926,3.853934,0.6360104,4.221512,0.6378965,9
6,3,2,958.594,32.56988,19.14191,65.15063,968.1333,45.64556,948.9914,46.48751,0,28.75679,1.954123,29.33198,2.765889,28.18355,2.761211,12
6,3,3,,,,,,,,,,,,,,,,7
6,3,4,,,,,,,,,,,,,,,,16
6,3,5,,,,,,,,,,,,,,,,10
6,3,6,,,,,,,,,,,,,,,,8
6,3,7,,,,,,,,,,,,,,,,10
6,3,8,,,,,,,,,,,,,,,,5
6,3,9,,,,,,,,,,,,,,,,15
6,3,10,,,,,,,,,,,,,,,,14
6,3,11,,,,,,,,,,,,,,,,9
6,3,12,,,,,,,,,,,,,,,,7
6,3,13,,,,,,,,,,,,,,,,17
6,3,14,,,,,,,,,,,,,,,,10
6,3,15,,,,,,,,,,,,,,,,16
6,3,16,,,,,,,,,,,,,,,,13
6,3,17,,,,,,,,,,,,,,,,2
6,3,18,,,,,,,,,,,,,,,,2
6,4,0,669.4901,29.82339,-0,0,669.4901,29.82339,669.4901,29.82339,0,14.02682,1.249689,14.02682,1.249689,14.02682,1.249689,10
6,4,1,608.569,17.5979,0.7318726,35.19664,608.9327,24.80172,608.2009,24.97355,0,11.59019,0.6703039,11.60405,0.9452621,11.57617,0.9506666,19
6,4,2,517.4626,34.69818,24.04865,70.05283,528.3329,48.72934,504.2842,50.32742,0,8.41748,1.117287,8.809916,1.593225,8.03773,1.56726,3
6,4,3,,,,,,,,,,,,,,,,13
6,4,4,,,,,,,,,,,,,,,,11
6,4,5,,,,,,,,,,,,,,,,13
6,4,6,,,,,,,,,,,,,,,,11
6,4,7,,,,,,,,,,,,,,,,14
6,4,8,,,,,,,,,,,,,,,,5
6,4,9,,,,,,,,,,,,,,,,5
6,4,10,,,,,,,,,,,,,,,,11
6,4,11,,,,,,,,,,,,,,,,8
6,4,12,,,,,,,,,,,,,,,,10
6,4,13,,,,,,,,,,,,,,,,13
6,4,14,,,,,,,,,,,,,,,,1
6,4,15,,,,,,,,,,,,,,,,18
6,4,16,,,,,,,,,,,,,,,,1
6,4,17,,,,,,,,,,,,,,,,0
6,4,18,,,,,,,,,,,,,,,,15
6,5,0,280.6732,34.02379,-0,0,280.6732,34.02379,280.6732,34.02379,0,2.501589,0.585488,2.501589,0.585488,2.501589,0.585488,6
6,5,1,540.061,17.84459,-36.85278,35.85154,521.0275,26.2231,557.8803,24.44753,0,9.127604,0.6031849,8.517091,0.8524212,9.739869,0.8536446,12
6,5,2,719.6124,22.36938,-21.8905,44.75391,708.632,32.055,730.5225,31.23123,0,16.20572,1.00752,15.71493,1.421731,16.70084,1.427985,3
6,5,3,,,,,,,,,,,,,,,,6
6,5,4,,,,,,,,,,,,,,,,5
6,5,5,,,,,,,,,,,,,,,,9
6,5,6,,,,,,,,,,,,,,,,6
6,5,7,,,,,,,,,,,,,,,,19
6,5,8,,,,,,,,,,,,,,,,0
6,5,9,,,,,,,,,,,,,,,,10
6,5,10,,,,,,,,,,,,,,,,11
6,5,11,,,,,,,,,,,,,,,,8
6,5,12,,,,,,,,,,,,,,,,4
6,5,13,,,,,,,,,,,,,,,,14
6,5,14,,,,,,,,,,,,,,,,2
6,5,15,,,,,,,,,,,,,,,,14
6,5,16,,,,,,,,,,,,,,,,10
6,5,17,,,,,,,,,,,,,,,,14
6,5,18,,,,,,,,,,,,,,,,1
6,6,0,299.0559,31.85752,0,0,299.0559,31.85752,299.0559,31.85752,0,2.83064,0.5871208,2.83064,0.5871208,2.83064,0.5871208,12
6,6,1,345.0493,32.81932,0,0,345.0493,32.81932,345.0493,32.81932,0,3.759706,0.7002435,3.759706,0.7002435,3.759706,0.7002435,18
6,6,2,131.3811,48.864,0,0,131.3811,48.864,131.3811,48.864,0,0.4083753,0.5367528,0.4083753,0.5367528,0.4083753,0.5367528,2
6,6,3,,,,,,,,,,,,,,,,1
6,6,4,,,,,,,,,,,,,,,,4
6,6,5,,,,,,,,,,,,,,,,0
6,6,6,,,,,,,,,,,,,,,,8
6,6,7,,,,,,,,,,,,,,,,9
6,6,8,,,,,,,,,,,,,,,,18
6,6,9,,,,,,,,,,,,,,,,0
6,6,10,,,,,,,,,,,,,,,,4
6,6,11,,,,,,,,,,,,,,,,18
6,6,12,,,,,,,,,,,,,,,,12
6,6,13,,,,,,,,,,,,,,,,9
6,6,14,,,,,,,,,,,,,,,,17
6,6,15,,,,,,,,,,,,,,,,7
6,6,16,,,,,,,,,,,,,,,,16
6,6,17,,,,,,,,,,,,,,,,8
6,6,18,,,,,,,,,,,,,,,,16
7,0,0,48.17235,24.41107,-0,0,48.17235,24.41107,48.17235,24.41107,0,-1.375753,0.3760775,-1.375753,0.3760775,-1.375753,0.3760775,0
7,0,1,278.112,39.14359,0,0,278.112,39.14359,278.112,39.14359,0,2.468318,0.6625126,2.468318,0.6625126,2.468318,0.6625126,2
7,0,2,334.5663,46.60342,-0,0,334.5663,46.60342,334.5663,46.60342,0,3.570764,0.9493901,3.570764,0.9493901,3.570764,0.9493901,8
7,0,3,,,,,,,,,,,,,,,,19
7,0,4,,,,,,,,,,,,,,,,4
7,0,5,,,,,,,,,,,,,,,,11
7,0,6,,,,,,,,,,,,,,,,12
7,0,7,,,,,,,,,,,,,,,,6
7,0,8,,,,,,,,,,,,,,,,12
7,0,9,,,,,,,,,,,,,,,,14
