H,K,L,F,SIGF,DANO,SIGDANO,F(+),SIGF(+),F(-),SIGF(-),ISYM,IMEAN,SIGIMEAN,I(+),SIGI(+),I(-),SIGI(-),FreeR_flag
22,14,0,239.4964,18.96425,0,0,239.4964,18.96425,239.4964,18.96425,0,1.806283,0.2819484,1.806283,0.2819484,1.806283,0.2819484,8
22,14,1,421.2549,12.31365,36.11813,24.69392,439.1486,16.80815,403.0305,18.09077,0,5.553425,0.324663,6.035233,0.4619898,5.083313,0.4563479,12
22,14,2,285.2589,20.05168,-20.18802,40.50849,274.8387,28.85929,295.0267,28.42674,0,2.55912,0.3557311,2.389977,0.4890257,2.749207,0.5184194,6
22,14,3,161.8483,35.28274,-83.5522,62.3178,128.6096,44.97609,212.1618,43.13536,0,0.851868,0.3473291,0.4562439,0.4462047,1.460158,0.5532839,15
22,14,4,348.6664,23.21029,-17.86169,47.48163,337.8417,36.22738,355.7034,30.69336,0,3.821326,0.5036201,3.612992,0.754087,3.989066,0.6766429,7
22,14,5,178.8322,39.38201,55.71803,70.67064,207.1181,46.11223,151.4001,53.55372,0,1.040314,0.4288816,1.395768,0.5824081,0.6192013,0.6339211,15
22,14,6,266.3252,36.40369,56.4581,73.89038,293.9375,49.59671,237.4794,54.77185,0,2.261098,0.5909284,2.778576,0.8799747,1.836077,0.7974976,6
22,14,7,179.0323,56.74834,2.093338,95.82259,192.1797,70.03559,190.0863,65.39866,0,0.9836879,0.7134798,0.9309497,1.093379,1.022799,0.9415778,16
22,14,8,173.8172,60.76254,-15.75357,100.9686,182.9461,70.42535,198.6997,72.35278,0,0.833893,0.8143724,0.6784689,1.137364,0.9974059,1.166585,1
22,14,9,,,,,,,,,,,,,,,,13
22,14,10,,,,,,,,,,,,,,,,15
22,14,11,,,,,,,,,,,,,,,,18
22,14,12,,,,,,,,,,,,,,,,0
22,15,0,118.7659,31.70842,0,0,118.7659,31.70842,118.7659,31.70842,0,0.4567313,0.2401265,0.4567313,0.2401265,0.4567313,0.2401265,19
22,15,1,279.3804,14.40628,-12.66254,29.16991,273.6466,19.33204,286.3092,21.84389,0,2.449172,0.2510545,2.355145,0.3289768,2.580294,0.3884871,11
22,15,2,248.0954,20.94598,35.60962,43.02929,264.4304,28.08119,228.8207,32.60317,0,1.939991,0.3222115,2.212967,0.4576469,1.671668,0.45373,1
22,15,3,176.284,33.59476,-14.13997,64.90098,167.9991,49.99208,182.1391,41.38755,0,1.005147,0.3571355,0.893093,0.564608,1.079882,0.4610995,7
22,15,4,249.9045,27.09483,11.81099,55.62878,254.8732,40.68826,243.0622,37.93451,0,1.977457,0.4170123,2.083798,0.6272453,1.893222,0.5582542,18
22,15,5,339.8202,28.14226,-66.28769,58.03938,304.9471,44.47807,371.2348,37.28633,0,3.638693,0.5931752,2.971644,0.8239431,4.356392,0.8546525,6
22,15,6,263.2702,33.92289,-46.06001,69.49606,238.207,52.2625,284.267,45.80757,0,2.205109,0.5459753,1.84562,0.757781,2.593168,0.787317,12
22,15,7,129.6154,51.35463,57.70486,83.45885,181.3032,62.24401,123.5983,55.59734,0,0.274427,0.6193759,0.9334377,0.8527097,-0.4615942,0.9011564,1
22,15,8,230.5798,60.59375,35.26141,105.7184,255.048,73.9393,219.7865,75.56037,0,1.724191,0.8859112,2.075043,1.248969,1.368924,1.256803,16
22,15,9,,,,,,,,,,,,,,,,3
22,15,10,,,,,,,,,,,,,,,,1
22,15,11,,,,,,,,,,,,,,,,11
22,15,12,,,,,,,,,,,,,,,,7
22,16,0,170.0285,23.88513,0,0,170.0285,23.88513,170.0285,23.88513,0,0.9225197,0.2471748,0.9225197,0.2471748,0.9225197,0.2471748,9
22,16,1,473.1928,12.31806,20.85391,24.64602,483.6688,17.17855,462.8148,17.67268,0,7.007246,0.3648223,7.320945,0.5200386,6.703253,0.5119302,14
22,16,2,156.3855,22.87098,58.41267,45.78389,184.8979,28.56623,126.4852,35.77897,0,0.7815979,0.217246,1.095091,0.3199321,0.5133712,0.295934,19
22,16,3,283.7696,22.51863,-22.03281,45.63389,272.5747,32.13123,294.6075,32.40425,0,2.535896,0.3966666,2.357433,0.5376352,2.749098,0.5876363,11
22,16,4,299.3142,23.98738,-31.79675,50.68866,279.348,40.55326,311.1448,30.41008,0,2.821717,0.4456019,2.493263,0.688323,3.058677,0.5846464,4
22,16,5,218.76,35.23721,-51.15202,69.63309,191.8549,52.43017,243.0069,45.82406,0,1.535693,0.466083,1.188335,0.6475217,1.909153,0.671409,17
22,16,6,248.935,35.51011,-61.37354,71.88005,216.1366,55.01974,277.5101,46.25549,0,1.978574,0.5375907,1.518342,0.7462206,2.475169,0.7751399,16
22,16,7,244.1122,47.50837,-35.16986,90.12889,226.6449,65.342,261.8148,62.07769,0,1.929371,0.6997536,1.641053,0.9778353,2.231996,1.001802,18
22,16,8,285.2909,60.08706,-178.1545,107.3759,223.7988,75.55606,401.9533,76.29454,0,2.643868,1.039032,1.453057,1.256053,5.224941,1.849212,1
22,16,9,,,,,,,,,,,,,,,,8
22,16,10,,,,,,,,,,,,,,,,3
22,16,11,,,,,,,,,,,,,,,,8
22,16,12,,,,,,,,,,,,,,,,17
22,17,0,167.591,28.48834,0,0,167.591,28.48834,167.591,28.48834,0,0.9035714,0.2881308,0.9035714,0.2881308,0.9035714,0.2881308,19
22,17,1,241.7081,14.43196,-2.931229,29.06491,239.7925,20.69384,242.7237,20.40917,0,1.834861,0.2173355,1.812873,0.3075409,1.856797,0.307177,18
22,17,2,247.3581,19.87444,-10.34775,40.61403,240.8824,30.46006,251.2302,26.86418,0,1.927184,0.3050985,1.844868,0.4489731,1.99781,0.4158743,9
22,17,3,342.3578,22.49625,51.73022,47.67295,362.6732,28.1351,310.9429,38.4854,0,3.683877,0.4793659,4.141082,0.6336544,3.072078,0.7329954,9
